Date,Open,High,Low,Close,Adj Close,Volume
1990-01-03,9.060000,9.060000,9.060000,9.060000,4.788094,0
1990-01-04,9.060000,9.060000,9.060000,9.060000,4.788094,0
1990-01-05,8.955000,8.955000,8.955000,8.955000,4.732603,0
1990-01-08,8.960000,8.960000,8.960000,8.960000,4.735245,0
1990-01-09,9.005000,9.005000,9.005000,9.005000,4.759027,0
1990-01-10,9.140000,9.140000,9.140000,9.140000,4.830373,0
1990-01-11,9.185000,9.185000,9.185000,9.185000,4.854155,0
1990-01-12,9.150000,9.150000,9.150000,9.150000,4.835657,0
1990-01-15,8.990000,8.990000,8.990000,8.990000,4.751100,0
1990-01-16,8.885000,8.885000,8.885000,8.885000,4.695608,0
1990-01-17,9.115000,9.115000,9.115000,9.115000,4.817161,0
1990-01-18,8.865000,8.865000,8.865000,8.865000,4.685038,0
1990-01-19,8.865000,8.865000,8.865000,8.865000,4.685038,0
1990-01-22,8.875000,8.875000,8.875000,8.875000,4.690323,0
1990-01-23,8.845000,8.845000,8.845000,8.845000,4.674468,0
1990-01-24,8.595000,8.595000,8.595000,8.595000,4.542346,0
1990-01-25,8.605000,8.605000,8.605000,8.605000,4.547632,0
1990-01-26,8.540000,8.540000,8.540000,8.540000,4.513280,0
1990-01-29,8.610000,8.610000,8.610000,8.610000,4.550274,0
1990-01-30,8.550000,8.550000,8.550000,8.550000,4.518565,0
1990-01-31,8.475000,8.475000,8.475000,8.475000,4.478929,0
1990-02-01,8.470000,8.470000,8.470000,8.470000,4.476286,0
1990-02-02,8.520000,8.520000,8.520000,8.520000,4.502710,0
1990-02-05,8.630000,8.630000,8.630000,8.630000,4.560844,0
1990-02-06,8.650000,8.650000,8.650000,8.650000,4.571414,0
1990-02-07,8.600000,8.600000,8.600000,8.600000,4.544989,0
1990-02-08,8.840000,8.840000,8.840000,8.840000,4.671827,0
1990-02-09,8.780000,8.780000,8.780000,8.780000,4.640117,0
1990-02-12,8.725000,8.725000,8.725000,8.725000,4.611051,0
1990-02-13,8.780000,8.780000,8.780000,8.780000,4.640117,0
1990-02-14,8.855000,8.855000,8.855000,8.855000,4.679753,0
1990-02-15,8.880000,8.880000,8.880000,8.880000,4.692966,0
1990-02-16,8.920000,8.920000,8.920000,8.920000,4.714106,0
1990-02-19,8.880000,8.880000,8.880000,8.880000,4.692966,0
1990-02-20,8.790000,8.790000,8.790000,8.790000,4.645402,0
1990-02-21,8.630000,8.630000,8.630000,8.630000,4.560844,0
1990-02-22,8.625000,8.625000,8.625000,8.625000,4.558202,0
1990-02-23,8.590000,8.590000,8.590000,8.590000,4.539705,0
1990-02-26,8.470000,8.470000,8.470000,8.470000,4.476286,0
1990-02-27,8.470000,8.470000,8.470000,8.470000,4.476286,0
1990-02-28,8.555000,8.555000,8.555000,8.555000,4.521208,0
1990-03-01,8.490000,8.490000,8.490000,8.490000,4.486856,0
1990-03-02,8.575000,8.575000,8.575000,8.575000,4.531777,0
1990-03-05,8.590000,8.590000,8.590000,8.590000,4.539705,0
1990-03-06,8.625000,8.625000,8.625000,8.625000,4.558202,0
